student_id,state,category,gender,quota,12th_percentage,entrance_score,effective_score,extracurriculars,preferences_count,assigned_college,admission_chance
S0329,Uttar Pradesh,GEN,Male,None,60.7,159,159,3,10,Regional Engineering College,0.479
S0330,Haryana,GEN,Male,None,77.84,191,191,0,5,State Tech University,0.555
S0331,Delhi,SC,Female,None,58.83,128,128,3,9,Local Government College,0.468
S0332,Maharashtra,OBC,Male,None,89.23,249,249,1,4,NIT Example,0.748
S0333,Rajasthan,OBC,Female,None,86.95,207,207,2,4,State Tech University,0.627
S0334,Tamil Nadu,EWS,Male,None,78.37,180,180,3,8,State Tech University,0.505
S0335,Gujarat,SC,Male,None,92.47,285,285,3,3,IIT Example,0.882
S0336,Maharashtra,GEN,Female,None,81.68,207,207,1,10,State Tech University,0.627
S0337,Tamil Nadu,OBC,Female,None,54.15,92,92,3,8,Community College,0.455
S0338,Tamil Nadu,GEN,Female,None,77.53,197,197,3,8,State Tech University,0.582
S0339,Haryana,OBC,Male,None,85.05,200,200,5,8,State Tech University,0.595
S0340,Gujarat,OBC,Female,None,78.92,205,205,1,3,State Tech University,0.618
S0341,Haryana,GEN,Female,Defence,73.87,189,199,2,6,State Tech University,0.591
S0342,Maharashtra,OBC,Male,None,89.86,234,234,3,9,NIT Example,0.68
S0343,Tamil Nadu,SC,Male,None,81.79,168,168,4,4,State Tech University,0.45
S0344,Uttar Pradesh,GEN,Male,None,71.99,186,186,3,6,State Tech University,0.532
S0345,Rajasthan,OBC,Female,None,90.46,224,224,1,3,NIT Example,0.635
S0346,Tamil Nadu,OBC,Female,Defence,83.64,253,263,1,10,IIT Example,0.782
S0347,Rajasthan,GEN,Male,TFW,78.34,240,240,0,8,NIT Example,0.707
S0348,Gujarat,OBC,Female,None,65.58,186,186,2,7,State Tech University,0.532
S0349,Haryana,GEN,Male,None,69.55,160,160,4,6,Regional Engineering College,0.484
S0350,Delhi,SC,Female,None,77.7,225,225,2,10,NIT Example,0.639
S0351,Gujarat,OBC,Female,TFW,89.0,217,217,0,7,NIT Example,0.603
S0352,Delhi,GEN,Female,None,68.38,241,241,1,9,NIT Example,0.712
S0353,Gujarat,EWS,Female,None,93.51,293,293,4,7,IIT Example,0.918
S0354,Karnataka,GEN,Male,None,74.92,227,227,0,10,NIT Example,0.648
S0355,Uttar Pradesh,GEN,Female,TFW,72.96,178,178,4,7,Regional Engineering College,0.565
S0356,Tamil Nadu,GEN,Female,None,69.82,159,159,1,3,Regional Engineering College,0.479
S0357,Uttar Pradesh,OBC,Male,None,80.76,175,175,5,10,State Tech University,0.482
S0358,Karnataka,OBC,Male,Defence,70.8,190,200,2,5,State Tech University,0.595
S0359,Rajasthan,OBC,Female,None,97.62,292,292,1,6,IIT Example,0.914
S0360,Delhi,GEN,Female,TFW,76.69,155,155,2,4,Regional Engineering College,0.461
S0361,Uttar Pradesh,OBC,Female,TFW,87.4,222,222,2,5,NIT Example,0.625
S0362,Rajasthan,ST,Male,TFW,60.96,86,86,0,9,Community College,0.45
S0363,Haryana,GEN,Female,NRI,77.47,191,151,3,7,Regional Engineering College,0.443
S0364,Maharashtra,GEN,Female,None,79.26,178,178,1,8,Regional Engineering College,0.565
S0365,Delhi,OBC,Female,None,79.24,209,209,0,5,State Tech University,0.636
S0366,Haryana,GEN,Female,None,73.8,186,186,1,10,State Tech University,0.532
S0367,Delhi,OBC,Male,None,72.28,197,197,2,7,State Tech University,0.582
S0368,Uttar Pradesh,GEN,Female,NRI,68.69,178,138,0,9,Local Government College,0.514
S0369,Gujarat,GEN,Female,None,45.91,141,141,2,5,Local Government College,0.527
S0370,Haryana,GEN,Male,None,77.96,204,204,2,6,State Tech University,0.614
S0371,Haryana,SC,Female,None,56.25,133,133,3,3,Regional Engineering College,0.361
S0372,Delhi,OBC,Female,None,78.52,170,170,3,4,State Tech University,0.459
S0373,Haryana,GEN,Male,None,66.18,151,151,3,7,Regional Engineering College,0.443
S0374,Karnataka,OBC,Female,None,80.15,225,225,0,6,NIT Example,0.639
S0375,Uttar Pradesh,EWS,Male,None,79.55,252,252,0,8,IIT Example,0.732
S0376,Rajasthan,OBC,Female,None,62.13,88,88,2,6,Community College,0.45
S0377,Uttar Pradesh,OBC,Female,None,69.62,231,231,3,10,NIT Example,0.666
S0378,Gujarat,GEN,Female,None,91.77,240,240,1,6,NIT Example,0.707
S0379,Tamil Nadu,GEN,Female,None,67.46,190,190,1,6,State Tech University,0.55
S0380,Haryana,GEN,Female,None,88.94,212,212,1,10,State Tech University,0.65
S0381,Tamil Nadu,OBC,Male,None,70.67,196,196,3,10,State Tech University,0.577
S0382,Delhi,SC,Male,None,74.27,174,174,3,6,State Tech University,0.477
S0383,Karnataka,GEN,Male,None,87.46,240,240,3,3,NIT Example,0.707
S0384,Karnataka,EWS,Male,None,53.03,142,142,4,5,Regional Engineering College,0.402
S0385,Tamil Nadu,SC,Female,None,75.81,218,218,1,9,NIT Example,0.607
S0386,Gujarat,EWS,Male,NRI,67.28,200,160,4,9,Regional Engineering College,0.484
S0387,Rajasthan,GEN,Female,NRI,68.44,165,125,2,5,Local Government College,0.455
S0388,Gujarat,GEN,Other,None,99.0,230,230,0,5,NIT Example,0.662
S0389,Uttar Pradesh,SC,Female,Defence,77.3,207,217,4,10,NIT Example,0.603
S0390,Rajasthan,OBC,Female,None,62.25,172,172,2,8,State Tech University,0.468
S0391,Tamil Nadu,GEN,Female,None,75.39,189,189,3,4,State Tech University,0.545
S0392,Maharashtra,SC,Male,None,65.34,184,184,4,3,State Tech University,0.523
S0393,Uttar Pradesh,GEN,Male,None,90.81,233,233,2,3,NIT Example,0.675
S0394,Uttar Pradesh,SC,Male,None,69.02,204,204,1,6,NIT Example,0.544
S0395,Maharashtra,GEN,Other,None,68.22,167,167,2,8,Regional Engineering College,0.515
S0396,Gujarat,GEN,Female,Defence,89.61,271,281,4,6,IIT Example,0.864
S0397,Rajasthan,GEN,Male,TFW,79.47,186,186,2,5,State Tech University,0.532
S0398,Rajasthan,OBC,Male,None,78.4,197,197,2,9,State Tech University,0.582
S0399,Gujarat,OBC,Male,None,91.51,263,263,2,5,IIT Example,0.782
S0400,Haryana,GEN,Male,NRI,81.17,215,175,4,5,Regional Engineering College,0.552
S0401,Haryana,ST,Female,Defence,78.27,219,229,1,5,NIT Example,0.657
S0402,Rajasthan,GEN,Male,None,54.54,84,84,4,10,No Seat / Private Coaching,0.01
S0403,Gujarat,GEN,Female,None,68.58,176,176,4,7,Regional Engineering College,0.556
S0404,Rajasthan,OBC,Female,NRI,77.35,209,169,1,6,Regional Engineering College,0.525
S0405,Uttar Pradesh,OBC,Female,None,85.66,209,209,2,3,State Tech University,0.636
S0406,Uttar Pradesh,ST,Female,None,79.41,252,252,0,10,IIT Example,0.732
S0407,Uttar Pradesh,OBC,Female,None,52.38,128,128,2,6,Local Government College,0.468
S0408,Gujarat,SC,Male,None,86.4,267,267,2,8,IIT Example,0.8
S0409,Delhi,GEN,Female,None,83.81,201,201,0,4,State Tech University,0.6
S0410,Haryana,SC,Male,None,75.84,226,226,0,8,NIT Example,0.644
S0411,Rajasthan,GEN,Female,None,79.17,234,234,0,3,NIT Example,0.68
S0412,Delhi,OBC,Female,None,86.7,237,237,3,7,NIT Example,0.694
S0413,Tamil Nadu,GEN,Male,None,67.15,128,128,4,6,Local Government College,0.468
S0414,Haryana,OBC,Female,None,89.66,276,276,2,10,IIT Example,0.841
S0415,Haryana,OBC,Female,None,72.05,166,166,4,5,Regional Engineering College,0.511
S0416,Haryana,GEN,Female,Defence,99.0,260,270,0,3,IIT Example,0.814
S0417,Maharashtra,SC,Male,None,66.09,138,138,1,3,Regional Engineering College,0.384
S0418,Maharashtra,GEN,Female,None,69.85,164,164,3,5,Regional Engineering College,0.502
S0419,Maharashtra,GEN,Male,None,56.94,167,167,1,10,Regional Engineering College,0.515
S0420,Haryana,GEN,Female,None,71.29,166,166,3,3,Regional Engineering College,0.511
S0421,Delhi,OBC,Male,None,73.08,206,206,0,9,State Tech University,0.623
S0422,Tamil Nadu,GEN,Male,None,64.37,174,174,3,6,Regional Engineering College,0.547
S0423,Delhi,SC,Male,None,70.21,166,166,2,8,State Tech University,0.441
S0424,Rajasthan,OBC,Male,None,78.21,216,216,4,7,NIT Example,0.598
S0425,Karnataka,OBC,Female,None,76.74,184,184,1,4,State Tech University,0.523
S0426,Rajasthan,GEN,Female,None,65.01,113,113,1,3,Community College,0.55
S0427,Tamil Nadu,GEN,Female,None,93.26,230,230,0,8,NIT Example,0.662
S0428,Karnataka,ST,Female,None,72.3,171,171,4,10,State Tech University,0.464
S0429,Delhi,GEN,Male,TFW,77.48,220,220,2,3,NIT Example,0.616
S0430,Tamil Nadu,ST,Male,Defence,61.28,162,172,0,5,State Tech University,0.468
S0431,Rajasthan,ST,Male,None,54.63,125,125,2,9,Regional Engineering College,0.325
S0432,Gujarat,GEN,Female,None,76.92,174,174,4,4,Regional Engineering College,0.547
S0433,Gujarat,GEN,Male,None,97.08,233,233,1,8,NIT Example,0.675
S0434,Rajasthan,EWS,Male,None,71.81,222,222,5,10,NIT Example,0.625
S0435,Haryana,GEN,Female,None,52.97,167,167,3,5,Regional Engineering College,0.515
S0436,Rajasthan,GEN,Female,None,71.96,156,156,1,4,Regional Engineering College,0.465
S0437,Karnataka,GEN,Male,None,63.43,154,154,0,5,Regional Engineering College,0.456
S0438,Rajasthan,GEN,Male,None,90.72,270,270,1,7,IIT Example,0.814
S0439,Haryana,GEN,Male,None,54.8,122,122,3,5,Local Government College,0.441
S0440,Rajasthan,GEN,Female,None,74.68,201,201,1,3,State Tech University,0.6
S0441,Karnataka,GEN,Male,None,69.31,179,179,3,8,Regional Engineering College,0.57
S0442,Rajasthan,GEN,Male,None,73.94,182,182,1,6,State Tech University,0.514
S0443,Tamil Nadu,OBC,Male,None,71.89,226,226,2,7,NIT Example,0.644
S0444,Haryana,GEN,Male,None,73.88,197,197,4,7,State Tech University,0.582
S0445,Haryana,SC,Male,TFW,73.71,202,202,1,10,NIT Example,0.535
S0446,Uttar Pradesh,OBC,Male,None,60.67,161,161,4,9,Regional Engineering College,0.488
S0447,Gujarat,SC,Male,NRI,62.24,139,99,1,10,Community College,0.486
S0448,Gujarat,GEN,Female,None,59.86,134,134,3,5,Local Government College,0.495
S0449,Delhi,GEN,Female,None,72.94,161,161,2,8,Regional Engineering College,0.488
S0450,Tamil Nadu,EWS,Female,None,88.21,278,278,1,10,IIT Example,0.85
S0451,Uttar Pradesh,GEN,Male,None,69.42,177,177,2,8,Regional Engineering College,0.561
S0452,Karnataka,ST,Male,Defence,78.19,247,257,1,5,IIT Example,0.755
S0453,Maharashtra,EWS,Male,None,70.66,190,190,4,10,State Tech University,0.55
S0454,Delhi,SC,Male,None,79.53,206,206,3,9,NIT Example,0.553
S0455,Haryana,GEN,Male,None,64.13,150,150,3,5,Regional Engineering College,0.438
S0456,Rajasthan,SC,Male,Defence,87.67,233,243,6,10,IIT Example,0.691
S0457,Rajasthan,OBC,Female,NRI,88.99,226,186,1,9,State Tech University,0.532
S0458,Maharashtra,SC,Male,NRI,73.38,215,175,3,4,State Tech University,0.482
S0459,Karnataka,SC,Female,None,98.48,250,250,2,3,IIT Example,0.723
S0460,Rajasthan,EWS,Male,None,63.34,130,130,2,4,Local Government College,0.477
S0461,Maharashtra,GEN,Male,None,68.57,199,199,0,6,State Tech University,0.591
S0462,Haryana,GEN,Male,None,83.7,230,230,1,5,NIT Example,0.662
S0463,Gujarat,EWS,Female,None,84.6,238,238,4,4,NIT Example,0.698
S0464,Karnataka,SC,Female,None,65.16,168,168,2,8,State Tech University,0.45
S0465,Haryana,SC,Female,None,65.49,162,162,2,4,State Tech University,0.423
S0466,Haryana,SC,Male,None,75.36,211,211,1,3,NIT Example,0.575
S0467,Karnataka,GEN,Male,None,92.46,240,240,1,5,NIT Example,0.707
S0468,Uttar Pradesh,OBC,Female,None,73.06,172,172,1,9,State Tech University,0.468
S0469,Haryana,GEN,Male,None,85.48,206,206,3,9,State Tech University,0.623
S0470,Rajasthan,GEN,Female,None,56.51,143,143,4,9,Local Government College,0.536
S0471,Rajasthan,GEN,Male,None,38.77,105,105,2,4,Community College,0.514
S0472,Karnataka,SC,Female,None,61.74,180,180,5,6,State Tech University,0.505
S0473,Haryana,GEN,Female,None,66.13,194,194,2,8,State Tech University,0.568
S0474,Rajasthan,OBC,Female,None,68.71,182,182,2,10,State Tech University,0.514
S0475,Tamil Nadu,SC,Female,None,67.49,175,175,2,4,State Tech University,0.482
S0476,Tamil Nadu,GEN,Male,None,84.9,199,199,1,8,State Tech University,0.591
S0477,Tamil Nadu,OBC,Male,None,58.85,132,132,4,9,Local Government College,0.486
S0478,Rajasthan,GEN,Female,None,72.28,206,206,1,5,State Tech University,0.623
S0479,Tamil Nadu,OBC,Male,None,74.21,242,242,3,10,NIT Example,0.716
S0480,Maharashtra,SC,Female,None,81.27,190,190,5,6,State Tech University,0.55
S0481,Rajasthan,EWS,Female,None,77.44,194,194,1,10,State Tech University,0.568
S0482,Rajasthan,OBC,Male,None,79.9,204,204,2,3,State Tech University,0.614
S0483,Uttar Pradesh,GEN,Male,None,68.39,147,147,1,5,Local Government College,0.555
S0484,Haryana,OBC,Female,None,69.56,217,217,3,4,NIT Example,0.603
S0485,Karnataka,GEN,Female,Defence,87.47,225,235,2,3,NIT Example,0.685
S0486,Haryana,OBC,Other,None,66.1,161,161,3,6,Regional Engineering College,0.488
S0487,Delhi,ST,Male,None,93.58,224,224,2,4,NIT Example,0.635
S0488,Haryana,SC,Male,None,68.47,173,173,0,6,State Tech University,0.473
S0489,Gujarat,SC,Female,None,54.07,143,143,1,5,Regional Engineering College,0.406
S0490,Uttar Pradesh,SC,Female,None,56.7,119,119,0,7,Local Government College,0.427
S0491,Tamil Nadu,GEN,Female,None,72.26,163,163,2,7,Regional Engineering College,0.497
S0492,Karnataka,GEN,Female,None,74.07,192,192,4,3,State Tech University,0.559
S0493,Delhi,SC,Male,NRI,83.58,235,195,2,6,State Tech University,0.573
S0494,Tamil Nadu,OBC,Female,None,72.15,192,192,1,9,State Tech University,0.559
S0495,Haryana,GEN,Female,None,86.77,207,207,2,9,State Tech University,0.627
S0496,Haryana,GEN,Female,None,76.98,201,201,1,9,State Tech University,0.6
S0497,Delhi,OBC,Female,None,77.08,206,206,3,10,State Tech University,0.623
S0498,Gujarat,OBC,Female,None,73.76,150,150,2,4,Regional Engineering College,0.438
S0499,Haryana,OBC,Female,NRI,81.45,213,173,0,9,State Tech University,0.473
S0500,Uttar Pradesh,EWS,Female,None,59.88,140,140,1,8,Local Government College,0.523
S0501,Delhi,GEN,Female,None,90.38,248,248,1,10,NIT Example,0.744
S0502,Gujarat,ST,Female,None,80.98,239,239,2,10,IIT Example,0.673
S0503,Maharashtra,GEN,Female,None,82.66,208,208,2,3,State Tech University,0.632
S0504,Rajasthan,GEN,Female,None,71.16,188,188,1,7,State Tech University,0.541
S0505,Tamil Nadu,ST,Female,None,64.98,221,221,0,8,NIT Example,0.621
S0506,Delhi,GEN,Female,None,75.45,210,210,1,3,State Tech University,0.641
S0507,Rajasthan,OBC,Female,None,68.64,184,184,2,9,State Tech University,0.523
S0508,Karnataka,OBC,Male,None,48.46,164,164,0,5,Regional Engineering College,0.502
S0509,Uttar Pradesh,OBC,Male,None,72.59,157,157,1,8,Regional Engineering College,0.47
S0510,Karnataka,EWS,Male,None,80.37,218,218,2,4,NIT Example,0.607
S0511,Uttar Pradesh,GEN,Female,None,55.82,156,156,2,8,Regional Engineering College,0.465
S0512,Gujarat,ST,Male,None,76.95,201,201,3,5,NIT Example,0.53
S0513,Tamil Nadu,GEN,Female,None,75.32,210,210,2,5,State Tech University,0.641
S0514,Haryana,GEN,Male,None,96.65,246,246,2,9,NIT Example,0.735
S0515,Haryana,SC,Male,None,77.79,172,172,2,4,State Tech University,0.468
S0516,Rajasthan,GEN,Male,None,60.0,171,171,3,6,Regional Engineering College,0.534
S0517,Delhi,OBC,Male,None,69.76,179,179,2,7,State Tech University,0.5
S0518,Maharashtra,SC,Female,None,65.9,132,132,2,6,Regional Engineering College,0.356
S0519,Rajasthan,GEN,Male,NRI,67.21,207,167,5,6,Regional Engineering College,0.515
S0520,Haryana,GEN,Male,None,66.78,193,193,2,4,State Tech University,0.564
S0521,Maharashtra,EWS,Female,None,66.48,157,157,1,9,Regional Engineering College,0.47
S0522,Gujarat,OBC,Male,None,56.68,148,148,0,4,Regional Engineering College,0.429
S0523,Maharashtra,OBC,Male,None,70.12,199,199,4,3,State Tech University,0.591
S0524,Rajasthan,OBC,Female,None,65.34,193,193,4,9,State Tech University,0.564
S0525,Rajasthan,OBC,Male,None,73.47,228,228,1,5,NIT Example,0.653
S0526,Delhi,GEN,Male,TFW,59.97,165,165,2,5,Regional Engineering College,0.506
S0527,Gujarat,GEN,Female,None,75.13,213,213,3,4,State Tech University,0.655
S0528,Delhi,OBC,Female,None,87.44,245,245,1,3,NIT Example,0.73
S0529,Uttar Pradesh,GEN,Male,None,76.31,224,224,1,3,NIT Example,0.635
S0530,Delhi,OBC,Female,None,83.28,152,152,0,3,Regional Engineering College,0.447
S0531,Tamil Nadu,OBC,Male,TFW,61.95,133,133,1,7,Local Government College,0.491
S0532,Tamil Nadu,GEN,Female,NRI,83.15,187,147,3,4,Local Government College,0.555
S0533,Maharashtra,GEN,Male,None,89.33,207,207,2,7,State Tech University,0.627
S0534,Karnataka,OBC,Female,None,92.52,197,197,1,5,State Tech University,0.582
S0535,Gujarat,GEN,Female,NRI,96.63,260,220,1,4,NIT Example,0.616
S0536,Uttar Pradesh,SC,Male,NRI,81.82,215,175,0,3,State Tech University,0.482
S0537,Uttar Pradesh,GEN,Male,TFW,82.81,177,177,3,5,Regional Engineering College,0.561
S0538,Maharashtra,OBC,Female,None,98.95,300,300,5,9,IIT Example,0.95
S0539,Uttar Pradesh,GEN,Male,None,77.76,214,214,4,7,State Tech University,0.659
S0540,Karnataka,OBC,Male,None,59.41,123,123,6,3,Local Government College,0.445
S0541,Tamil Nadu,GEN,Female,None,61.9,151,151,3,9,Regional Engineering College,0.443
S0542,Karnataka,ST,Female,None,56.79,138,138,4,7,Regional Engineering College,0.384
S0543,Gujarat,GEN,Male,None,96.83,252,252,2,7,NIT Example,0.762
S0544,Delhi,SC,Male,None,49.16,155,155,0,10,Regional Engineering College,0.461
S0545,Uttar Pradesh,SC,Female,None,61.59,134,134,3,5,Regional Engineering College,0.365
S0546,Maharashtra,ST,Male,None,88.34,278,278,2,3,IIT Example,0.85
S0547,Gujarat,GEN,Female,None,70.57,187,187,2,7,State Tech University,0.536
S0548,Karnataka,GEN,Other,None,90.0,196,196,2,3,State Tech University,0.577
S0549,Tamil Nadu,OBC,Male,TFW,68.57,135,135,2,9,Local Government College,0.5
S0550,Gujarat,OBC,Female,None,81.49,208,208,3,5,State Tech University,0.632
S0551,Rajasthan,GEN,Female,None,93.24,230,230,0,5,NIT Example,0.662
S0552,Uttar Pradesh,GEN,Female,TFW,63.43,140,140,2,9,Local Government College,0.523
S0553,Gujarat,GEN,Male,None,59.06,155,155,1,6,Regional Engineering College,0.461
S0554,Tamil Nadu,SC,Female,None,93.16,226,226,2,5,NIT Example,0.644
S0555,Haryana,OBC,Male,None,57.04,132,132,1,6,Local Government College,0.486
S0556,Haryana,GEN,Male,None,63.94,141,141,3,5,Local Government College,0.527
S0557,Delhi,SC,Female,None,68.44,171,171,3,8,State Tech University,0.464
S0558,Tamil Nadu,GEN,Male,None,84.74,191,191,2,3,State Tech University,0.555
S0559,Delhi,GEN,Other,None,82.87,177,177,2,9,Regional Engineering College,0.561
S0560,Haryana,OBC,Female,None,81.62,220,220,1,4,NIT Example,0.616
S0561,Tamil Nadu,GEN,Male,None,87.57,256,256,1,6,NIT Example,0.78
S0562,Tamil Nadu,GEN,Male,None,56.63,160,160,4,4,Regional Engineering College,0.484
S0563,Delhi,ST,Male,Defence,64.63,164,174,3,6,State Tech University,0.477
S0564,Haryana,SC,Male,None,95.13,235,235,0,8,NIT Example,0.685
S0565,Karnataka,GEN,Male,None,96.0,284,284,2,9,IIT Example,0.877
S0566,Rajasthan,OBC,Male,None,79.31,220,220,0,8,NIT Example,0.616
S0567,Uttar Pradesh,ST,Male,None,65.59,153,153,1,5,Regional Engineering College,0.452
S0568,Maharashtra,OBC,Female,None,74.19,175,175,3,10,State Tech University,0.482
S0569,Rajasthan,ST,Male,None,81.0,222,222,2,9,NIT Example,0.625
S0570,Tamil Nadu,GEN,Female,None,92.0,256,256,2,6,NIT Example,0.78
S0571,Maharashtra,EWS,Female,None,83.2,211,211,2,10,State Tech University,0.645
S0572,Gujarat,ST,Female,None,84.72,213,213,4,5,NIT Example,0.585
S0573,Maharashtra,GEN,Male,NRI,67.73,219,179,3,7,Regional Engineering College,0.57
S0574,Maharashtra,SC,Male,None,68.41,199,199,1,6,State Tech University,0.591
S0575,Tamil Nadu,GEN,Female,None,75.3,147,147,0,3,Local Government College,0.555
S0576,Uttar Pradesh,OBC,Other,None,84.52,219,219,0,5,NIT Example,0.612
S0577,Tamil Nadu,GEN,Male,None,69.08,215,215,2,8,State Tech University,0.664
S0578,Maharashtra,OBC,Male,None,81.51,185,185,3,5,State Tech University,0.527
S0579,Uttar Pradesh,SC,Female,Defence,62.91,135,145,1,7,Regional Engineering College,0.415
S0580,Tamil Nadu,OBC,Male,None,49.26,141,141,3,6,Regional Engineering College,0.397
S0581,Maharashtra,OBC,Male,TFW,61.25,125,125,3,6,Local Government College,0.455
S0582,Tamil Nadu,GEN,Male,None,87.78,174,174,1,8,Regional Engineering College,0.547
S0583,Maharashtra,GEN,Female,TFW,80.01,229,229,5,4,NIT Example,0.657
S0584,Gujarat,EWS,Male,TFW,63.15,177,177,2,9,State Tech University,0.491
S0585,Karnataka,GEN,Male,Defence,86.71,248,258,1,9,NIT Example,0.789
S0586,Haryana,OBC,Male,Defence,66.49,141,151,0,8,Regional Engineering College,0.443
S0587,Uttar Pradesh,OBC,Female,None,76.27,160,160,2,7,Regional Engineering College,0.484
S0588,Tamil Nadu,GEN,Male,None,58.47,137,137,2,9,Local Government College,0.509
S0589,Maharashtra,GEN,Male,None,49.89,165,165,3,6,Regional Engineering College,0.506
S0590,Karnataka,ST,Male,None,75.01,162,162,3,6,State Tech University,0.423
S0591,Gujarat,EWS,Male,NRI,78.02,179,139,0,4,Local Government College,0.518
S0592,Gujarat,GEN,Male,None,64.26,156,156,2,4,Regional Engineering College,0.465
S0593,Gujarat,GEN,Male,None,73.41,195,195,2,9,State Tech University,0.573
S0594,Haryana,SC,Female,NRI,99.0,229,189,2,10,State Tech University,0.545
S0595,Rajasthan,GEN,Male,None,89.93,237,237,3,6,NIT Example,0.694
S0596,Tamil Nadu,OBC,Female,None,72.13,223,223,3,3,NIT Example,0.63
S0597,Gujarat,GEN,Male,None,72.78,171,171,3,9,Regional Engineering College,0.534
S0598,Tamil Nadu,SC,Female,NRI,71.69,209,169,2,4,State Tech University,0.455
S0599,Gujarat,OBC,Female,None,67.72,181,181,2,3,State Tech University,0.509
S0600,Rajasthan,EWS,Male,NRI,62.07,144,104,1,5,Community College,0.509
S0601,Maharashtra,GEN,Male,None,72.76,173,173,4,7,Regional Engineering College,0.543
S0602,Delhi,GEN,Male,None,82.82,186,186,1,10,State Tech University,0.532
S0603,Tamil Nadu,GEN,Male,None,82.19,230,230,1,10,NIT Example,0.662
S0604,Uttar Pradesh,GEN,Male,None,80.49,245,245,4,4,NIT Example,0.73
S0605,Haryana,SC,Male,None,87.89,266,266,1,10,IIT Example,0.795
S0606,Delhi,GEN,Female,None,76.81,196,196,6,9,State Tech University,0.577
S0607,Gujarat,GEN,Male,None,62.61,172,172,2,7,Regional Engineering College,0.538
S0608,Uttar Pradesh,SC,Female,None,67.44,150,150,1,4,Regional Engineering College,0.438
S0609,Karnataka,OBC,Female,None,85.21,217,217,1,6,NIT Example,0.603
S0610,Maharashtra,SC,Female,None,77.67,189,189,4,10,State Tech University,0.545
S0611,Uttar Pradesh,OBC,Male,TFW,61.9,183,183,3,3,State Tech University,0.518
S0612,Tamil Nadu,GEN,Female,None,82.17,189,189,1,5,State Tech University,0.545
S0613,Uttar Pradesh,SC,Male,None,85.18,190,190,3,9,State Tech University,0.55
S0614,Uttar Pradesh,EWS,Female,None,78.13,189,189,2,7,State Tech University,0.545
S0615,Gujarat,ST,Female,None,71.01,196,196,1,9,NIT Example,0.507
S0616,Rajasthan,OBC,Female,None,60.18,185,185,7,3,State Tech University,0.527
S0617,Rajasthan,GEN,Male,None,66.51,176,176,0,4,Regional Engineering College,0.556
S0618,Karnataka,OBC,Male,None,84.08,233,233,3,8,NIT Example,0.675
S0619,Rajasthan,GEN,Female,None,62.8,157,157,0,10,Regional Engineering College,0.47
S0620,Maharashtra,GEN,Male,None,89.58,217,217,2,9,State Tech University,0.673
S0621,Maharashtra,GEN,Female,None,82.46,247,247,1,3,NIT Example,0.739
S0622,Haryana,ST,Female,None,79.64,234,234,4,7,NIT Example,0.68
S0623,Delhi,GEN,Female,None,96.23,237,237,1,4,NIT Example,0.694
S0624,Uttar Pradesh,GEN,Female,None,83.44,220,220,3,8,NIT Example,0.616
S0625,Delhi,SC,Female,None,88.42,243,243,2,10,IIT Example,0.691
S0626,Uttar Pradesh,ST,Male,None,98.45,243,243,3,8,IIT Example,0.691
S0627,Maharashtra,OBC,Male,None,98.55,256,256,2,9,IIT Example,0.75
S0628,Tamil Nadu,SC,Female,None,79.85,182,182,1,5,State Tech University,0.514
S0629,Uttar Pradesh,ST,Male,None,70.23,228,228,2,3,NIT Example,0.653
S0630,Haryana,GEN,Male,None,93.65,264,264,5,8,IIT Example,0.786
S0631,Haryana,OBC,Female,None,77.9,173,173,3,3,State Tech University,0.473
S0632,Uttar Pradesh,GEN,Female,None,69.41,176,176,0,10,Regional Engineering College,0.556
S0633,Gujarat,GEN,Female,None,65.31,166,166,4,4,Regional Engineering College,0.511
S0634,Delhi,GEN,Male,NRI,82.55,194,154,3,6,Regional Engineering College,0.456
S0635,Uttar Pradesh,OBC,Female,None,78.04,223,223,3,9,NIT Example,0.63
S0636,Maharashtra,SC,Female,None,68.8,173,173,4,10,State Tech University,0.473
S0637,Tamil Nadu,OBC,Female,None,67.0,169,169,1,7,Regional Engineering College,0.525
S0638,Delhi,OBC,Female,None,54.24,135,135,0,9,Local Government College,0.5
S0639,Gujarat,OBC,Male,None,71.93,180,180,4,9,State Tech University,0.505
S0640,Karnataka,GEN,Other,Defence,67.65,202,212,1,8,State Tech University,0.65
S0641,Delhi,GEN,Male,None,70.42,168,168,2,7,Regional Engineering College,0.52
S0642,Gujarat,SC,Male,None,82.14,199,199,1,7,State Tech University,0.591
S0643,Uttar Pradesh,GEN,Female,NRI,74.62,172,132,3,9,Local Government College,0.486
S0644,Gujarat,OBC,Female,None,77.21,268,268,1,7,IIT Example,0.805
S0645,Delhi,ST,Male,None,73.85,147,147,0,6,Regional Engineering College,0.425
S0646,Gujarat,SC,Male,None,52.37,126,126,1,10,Local Government College,0.459
S0647,Gujarat,OBC,Female,None,60.77,99,99,5,5,Community College,0.486
S0648,Delhi,GEN,Male,None,89.69,236,236,3,5,NIT Example,0.689
S0649,Gujarat,OBC,Male,None,95.43,246,246,3,7,NIT Example,0.735
S0650,Rajasthan,SC,Male,None,71.72,212,212,2,7,NIT Example,0.58
S0651,Haryana,SC,Male,NRI,72.08,179,139,2,4,Regional Engineering College,0.388
S0652,Haryana,ST,Female,NRI,70.79,251,211,2,9,NIT Example,0.575
S0653,Delhi,GEN,Female,None,92.72,211,211,1,6,State Tech University,0.645
S0654,Gujarat,GEN,Female,TFW,67.93,155,155,1,10,Regional Engineering College,0.461
